tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
ALOX12P2	-	-	ALOX12P2	ALOX12P2	TSS17735	chr17:6756894-6803668	-	-	0	0	0	OK
TEKT1	-	-	TEKT1	TEKT1	TSS28760	chr17:6703299-6735060	-	-	0	0	0	OK
BCL6B	-	-	BCL6B	BCL6B	TSS22835	chr17:6926368-6932961	-	-	0	0	0	OK
LOC100506713	-	-	LOC100506713	LOC100506713	TSS7871	chr17:6888441-6915653	-	-	0	0	0	OK
ALOX12	-	-	ALOX12	ALOX12	TSS12841	chr17:6899383-6914055	-	-	0	0	0	OK
SLC16A13	-	-	SLC16A13	SLC16A13	TSS15964	chr17:6939393-6943440	-	-	0	0	0	OK
SLC16A11	-	-	SLC16A11	SLC16A11	TSS15152	chr17:6944948-6947242	-	-	0	0	0	OK
CLEC10A	-	-	CLEC10A	CLEC10A	TSS24966	chr17:6977855-6983600	-	-	0	0	0	OK
ASGR2	-	-	ASGR2	ASGR2	TSS15062,TSS4679	chr17:7004640-7018130	-	-	0	0	0	OK
ASGR1	-	-	ASGR1	ASGR1	TSS8344	chr17:7076750-7082883	-	-	0	0	0	OK
DVL2	-	-	DVL2	DVL2	TSS1887	chr17:7128660-7137863	-	-	0	0	0	OK
PHF23	-	-	PHF23	PHF23	TSS23448	chr17:7138346-7142825	-	-	0	0	0	OK
GABARAP	-	-	GABARAP	GABARAP	TSS1523	chr17:7143737-7145753	-	-	0	0	0	OK
CTDNEP1	-	-	CTDNEP1	CTDNEP1	TSS4313,TSS6352	chr17:7146905-7155259	-	-	0	0	0	OK
SLC2A4	-	-	SLC2A4	SLC2A4	TSS18835	chr17:7185053-7191367	-	-	0	0	0	OK
RNASEK	-	-	RNASEK	RNASEK	TSS19205	chr17:6915735-6917852	-	-	0	0	0	OK
RNASEK-C17ORF49	-	-	RNASEK-C17ORF49	RNASEK-C17ORF49	TSS19205	chr17:6915735-6920843	-	-	0	0	0	OK
C17orf49	-	-	C17orf49	C17orf49	TSS3296	chr17:6918055-6920843	-	-	0	0	0	OK
MIR497HG	-	-	MIR497HG	MIR497HG	TSS20828	chr17:6919136-6922973	-	-	0	0	0	OK
MIR195	-	-	MIR195	MIR195	TSS106	chr17:6920933-6921020	-	-	0	0	0	OK
MIR497	-	-	MIR497	MIR497	TSS3454	chr17:6921229-6921341	-	-	0	0	0	OK
DLG4	-	-	DLG4	DLG4	TSS1007,TSS23695	chr17:7093209-7123369	-	-	0	0	0	OK
ACADVL	-	-	ACADVL	ACADVL	TSS17940	chr17:7123152-7128585	-	-	0	0	0	OK
MIR324	-	-	MIR324	MIR324	TSS3280	chr17:7126615-7126698	-	-	0	0	0	OK
YBX2	-	-	YBX2	YBX2	TSS12863	chr17:7191570-7197876	-	-	0	0	0	OK
EIF5A	-	-	EIF5A	EIF5A	TSS15405,TSS19911,TSS26056,TSS7475	chr17:7210317-7215782	-	-	0	0	0	OK
C17orf81	-	-	C17orf81	C17orf81	TSS14608,TSS16761	chr17:7155371-7163259	-	-	0	0	0	OK
CLDN7	-	-	CLDN7	CLDN7	TSS24680,TSS26709	chr17:7163221-7166512	-	-	0	0	0	OK
GPS2	-	-	GPS2	GPS2	TSS19137	chr17:7215977-7218658	-	-	0	0	0	OK
NEURL4	-	-	NEURL4	NEURL4	TSS17609	chr17:7218950-7232638	-	-	0	0	0	OK
ACAP1	-	-	ACAP1	ACAP1	TSS24665	chr17:7239847-7254793	-	-	0	0	0	OK
KCTD11	-	-	KCTD11	KCTD11	TSS6960	chr17:7255207-7258262	-	-	0	0	0	OK
TMEM95	-	-	TMEM95	TMEM95	TSS8467	chr17:7258496-7260538	-	-	0	0	0	OK
SPEM1	-	-	SPEM1	SPEM1	TSS7536	chr17:7323678-7324951	-	-	0	0	0	OK
NLGN2	-	-	NLGN2	NLGN2	TSS6103	chr17:7311501-7323179	-	-	0	0	0	OK
C17orf74	-	-	C17orf74	C17orf74	TSS22536	chr17:7328934-7330886	-	-	0	0	0	OK
TMEM102	-	-	TMEM102	TMEM102	TSS2151	chr17:7338761-7340998	-	-	0	0	0	OK
FGF11	-	-	FGF11	FGF11	TSS26441	chr17:7342688-7348251	-	-	0	0	0	OK
TNK1	-	-	TNK1	TNK1	TSS5629	chr17:7284292-7293092	-	-	0	0	0	OK
PLSCR3	-	-	PLSCR3	PLSCR3	TSS2685	chr17:7293046-7298162	-	-	0	0	0	OK
C17orf61-PLSCR3	-	-	C17orf61-PLSCR3	C17orf61-PLSCR3	TSS17357	chr17:7293046-7307450	-	-	0	0	0	OK
C17orf61	-	-	C17orf61	C17orf61	TSS17357	chr17:7306292-7307450	-	-	0	0	0	OK
CHRNB1	-	-	CHRNB1	CHRNB1	TSS22141	chr17:7348405-7360932	-	-	0	0	0	OK
POLR2A	-	-	POLR2A	POLR2A	TSS17495	chr17:7387697-7417935	-	-	0	0	0	OK
ZBTB4	-	-	ZBTB4	ZBTB4	TSS15468,TSS4129	chr17:7362684-7387568	-	-	0	0	0	OK
SLC35G6	-	-	SLC35G6	SLC35G6	TSS22687	chr17:7384720-7386383	-	-	0	0	0	OK
TNFSF12	-	-	TNFSF12	TNFSF12	TSS11463	chr17:7452374-7461207	-	-	0	0	0	OK
TNFSF12-TNFSF13	-	-	TNFSF12-TNFSF13	TNFSF12-TNFSF13	TSS11463	chr17:7452374-7464925	-	-	0	0	0	OK
TNFSF13	-	-	TNFSF13	TNFSF13	TSS27857	chr17:7461608-7464925	-	-	0	0	0	OK
CD68	-	-	CD68	CD68	TSS8262,TSS8263	chr17:7482804-7485429	-	-	0	0	0	OK
MPDU1	-	-	MPDU1	MPDU1	TSS1673	chr17:7486964-7491527	-	-	0	0	0	OK
SOX15	-	-	SOX15	SOX15	TSS10026	chr17:7491497-7493488	-	-	0	0	0	OK
ATP1B2	-	-	ATP1B2	ATP1B2	TSS10567	chr17:7554253-7561089	-	-	0	0	0	OK
EFNB3	-	-	EFNB3	EFNB3	TSS25779	chr17:7608519-7614693	-	-	0	0	0	OK
KDM6B	-	-	KDM6B	KDM6B	TSS4323	chr17:7743234-7758118	-	-	0	0	0	OK
TMEM88	-	-	TMEM88	TMEM88	TSS13915	chr17:7758383-7759417	-	-	0	0	0	OK
SENP3	-	-	SENP3	SENP3	TSS28946	chr17:7465308-7475287	-	-	0	0	0	OK
SENP3-EIF4A1	-	-	SENP3-EIF4A1	SENP3-EIF4A1	TSS28946	chr17:7465308-7482324	-	-	0	0	0	OK
EIF4A1	-	-	EIF4A1	EIF4A1	TSS18487	chr17:7476023-7482324	-	-	0	0	0	OK
SNORA48	-	-	SNORA48	SNORA48	TSS28966	chr17:7478030-7478165	-	-	0	0	0	OK
SNORD10	-	-	SNORD10	SNORD10	TSS9384	chr17:7480128-7480276	-	-	0	0	0	OK
SNORA67	-	-	SNORA67	SNORA67	TSS15400	chr17:7481272-7481409	-	-	0	0	0	OK
FXR2	-	-	FXR2	FXR2	TSS24651	chr17:7494547-7518215	-	-	0	0	0	OK
SHBG	-	-	SHBG	SHBG	TSS14747,TSS25788,TSS8295	chr17:7517381-7536700	-	-	0	0	0	OK
SAT2	-	-	SAT2	SAT2	TSS4601	chr17:7529555-7531194	-	-	0	0	0	OK
TP53	-	-	TP53	TP53	TSS10973,TSS12800	chr17:7571719-7590868	-	-	0	0	0	OK
WRAP53	-	-	WRAP53	WRAP53	TSS18224,TSS20917,TSS8069	chr17:7589388-7606820	-	-	0	0	0	OK
DNAH2	-	-	DNAH2	DNAH2	TSS14681	chr17:7623038-7737058	-	-	0	0	0	OK
RPL29P2	-	-	RPL29P2	RPL29P2	TSS24371	chr17:7657637-7658286	-	-	0	0	0	OK
LSMD1	-	-	LSMD1	LSMD1	TSS20953	chr17:7760002-7761172	-	-	0	0	0	OK
CYB5D1	-	-	CYB5D1	CYB5D1	TSS5801	chr17:7761063-7765600	-	-	0	0	0	OK
KCNAB3	-	-	KCNAB3	KCNAB3	TSS6	chr17:7826026-7832753	-	-	0	0	0	OK
LOC284023	-	-	LOC284023	LOC284023	TSS85	chr17:7816639-7819265	-	-	0	0	0	OK
CHD3	-	-	CHD3	CHD3	TSS11628,TSS26166	chr17:7788122-7816075	-	-	0	0	0	OK
SCARNA21	-	-	SCARNA21	SCARNA21	TSS14614	chr17:7809440-7809578	-	-	0	0	0	OK
TRAPPC1	-	-	TRAPPC1	TRAPPC1	TSS7374,TSS9172	chr17:7833662-7835317	-	-	0	0	0	OK
CNTROB	-	-	CNTROB	CNTROB	TSS25443	chr17:7835441-7853237	-	-	0	0	0	OK
ALOX15B	-	-	ALOX15B	ALOX15B	TSS22087	chr17:7942357-7952451	-	-	0	0	0	OK
GUCY2D	-	-	GUCY2D	GUCY2D	TSS7096	chr17:7905987-7923658	-	-	0	0	0	OK
MIR4314	-	-	MIR4314	MIR4314	TSS4302	chr17:7991373-7991465	-	-	0	0	0	OK
ALOX12B	-	-	ALOX12B	ALOX12B	TSS12600	chr17:7975953-7991021	-	-	0	0	0	OK
ALOXE3	-	-	ALOXE3	ALOXE3	TSS13303,TSS25021	chr17:7999217-8022234	-	-	0	0	0	OK
PER1	-	-	PER1	PER1	TSS881	chr17:8043787-8055753	-	-	0	0	0	OK
VAMP2	-	-	VAMP2	VAMP2	TSS24003	chr17:8062464-8066293	-	-	0	0	0	OK
MIR3676	-	-	MIR3676	MIR3676	TSS24588	chr17:8090492-8090577	-	-	0	0	0	OK
HES7	-	-	HES7	HES7	TSS20409	chr17:8023907-8027410	-	-	0	0	0	OK
TMEM107	-	-	TMEM107	TMEM107	TSS15036	chr17:8076296-8079714	-	-	0	0	0	OK
MIR4521	-	-	MIR4521	MIR4521	TSS9981	chr17:8090262-8090322	-	-	0	0	0	OK
AURKB	-	-	AURKB	AURKB	TSS16469	chr17:8108048-8113883	-	-	0	0	0	OK
LINC00324	-	-	LINC00324	LINC00324	TSS16034	chr17:8123947-8127361	-	-	0	0	0	OK
C17orf59	-	-	C17orf59	C17orf59	TSS14363	chr17:8091650-8093564	-	-	0	0	0	OK
CTC1	-	-	CTC1	CTC1	TSS23200	chr17:8128138-8151413	-	-	0	0	0	OK
PFAS	-	-	PFAS	PFAS	TSS1614	chr17:8152595-8173809	-	-	0	0	0	OK
SLC25A35	-	-	SLC25A35	SLC25A35	TSS1298	chr17:8191081-8198170	-	-	0	0	0	OK
RANGRF	-	-	RANGRF	RANGRF	TSS16149	chr17:8191968-8193409	-	-	0	0	0	OK
ODF4	-	-	ODF4	ODF4	TSS9066	chr17:8243187-8249363	-	-	0	0	0	OK
LOC100128288	-	-	LOC100128288	LOC100128288	TSS24582	chr17:8261730-8263859	-	-	0	0	0	OK
KRBA2	-	-	KRBA2	KRBA2	TSS21970	chr17:8271972-8274858	-	-	0	0	0	OK
RNF222	-	-	RNF222	RNF222	TSS4019	chr17:8294022-8301144	-	-	0	0	0	OK
ARHGEF15	-	-	ARHGEF15	ARHGEF15	TSS12367,TSS5902	chr17:8213555-8225834	-	-	0	0	0	OK
RPL26	-	-	RPL26	RPL26	TSS25150	chr17:8280833-8286565	-	-	0	0	0	OK
CCDC42	-	-	CCDC42	CCDC42	TSS4967	chr17:8633245-8648154	-	-	0	0	0	OK
SPDYE4	-	-	SPDYE4	SPDYE4	TSS18688	chr17:8656423-8661877	-	-	0	0	0	OK
MYH10	-	-	MYH10	MYH10	TSS1220	chr17:8377522-8534079	-	-	0	0	0	OK
NDEL1	-	-	NDEL1	NDEL1	TSS6492	chr17:8339178-8371481	-	-	0	0	0	OK
PIK3R6	-	-	PIK3R6	PIK3R6	TSS13989	chr17:8706054-8770994	-	-	0	0	0	OK
MFSD6L	-	-	MFSD6L	MFSD6L	TSS13213	chr17:8700427-8702667	-	-	0	0	0	OK
NTN1	-	-	NTN1	NTN1	TSS21676	chr17:8924858-9147317	-	-	0	0	0	OK
WDR16	-	-	WDR16	WDR16	TSS22359	chr17:9479943-9546776	-	-	0	0	0	OK
STX8	-	-	STX8	STX8	TSS21201	chr17:9153787-9479275	-	-	0	0	0	OK
DHRS7C	-	-	DHRS7C	DHRS7C	TSS246	chr17:9674750-9694614	-	-	0	0	0	OK
USP43	-	-	USP43	USP43	TSS21204	chr17:9548949-9633003	-	-	0	0	0	OK
PIK3R5	-	-	PIK3R5	PIK3R5	TSS12351,TSS25100	chr17:8782232-8869029	-	-	0	0	0	OK
GLP2R	-	-	GLP2R	GLP2R	TSS9929	chr17:9729380-9793022	-	-	0	0	0	OK
RCVRN	-	-	RCVRN	RCVRN	TSS6459	chr17:9801026-9808684	-	-	0	0	0	OK
MYH8	-	-	MYH8	MYH8	TSS19081	chr17:10293641-10325267	-	-	0	0	0	OK
GAS7	-	-	GAS7	GAS7	TSS1941,TSS21895,TSS3529,TSS8910	chr17:9813925-10101868	-	-	0	0	0	OK
MYH13	-	-	MYH13	MYH13	TSS18837	chr17:10204182-10276322	-	-	0	0	0	OK
MYH1	-	-	MYH1	MYH1	TSS10574	chr17:10395626-10421859	-	-	0	0	0	OK
MYH2	-	-	MYH2	MYH2	TSS18109,TSS28501	chr17:10424464-10453017	-	-	0	0	0	OK
MYH3	-	-	MYH3	MYH3	TSS22176	chr17:10531842-10560626	-	-	0	0	0	OK
MYH4	-	-	MYH4	MYH4	TSS7264	chr17:10346607-10372876	-	-	0	0	0	OK
C17orf48	-	-	C17orf48	C17orf48	TSS8771	chr17:10600926-10614875	-	-	0	0	0	OK
SCO1	-	-	SCO1	SCO1	TSS24022	chr17:10583648-10600885	-	-	0	0	0	OK
LOC100289255	-	-	LOC100289255	LOC100289255	TSS28214	chr17:10698229-10707416	-	-	0	0	0	OK
PIRT	-	-	PIRT	PIRT	TSS26351	chr17:10725791-10741418	-	-	0	0	0	OK
TMEM220	-	-	TMEM220	TMEM220	TSS26870	chr17:10616638-10633646	-	-	0	0	0	OK
ZNF18	-	-	ZNF18	ZNF18	TSS18833	chr17:11880761-11900689	-	-	0	0	0	OK
SHISA6	-	-	SHISA6	SHISA6	TSS13461	chr17:11144739-11467380	-	-	0	0	0	OK
DNAH9	-	-	DNAH9	DNAH9	TSS10896,TSS18317	chr17:11501747-11873065	-	-	0	0	0	OK
FLJ34690	-	-	FLJ34690	FLJ34690	TSS20271	chr17:12453284-12540504	-	-	0	0	0	OK
MYOCD	-	-	MYOCD	MYOCD	TSS4194,TSS78	chr17:12569206-12670651	-	-	0	0	0	OK
CDRT15P1	-	-	CDRT15P1	CDRT15P1	TSS13508	chr17:13927814-13928915	-	-	0	0	0	OK
HS3ST3A1	-	-	HS3ST3A1	HS3ST3A1	TSS12488	chr17:13399005-13505244	-	-	0	0	0	OK
ARHGAP44	-	-	ARHGAP44	ARHGAP44	TSS14546	chr17:12692828-12894960	-	-	0	0	0	OK
ELAC2	-	-	ELAC2	ELAC2	TSS17852	chr17:12894928-12921381	-	-	0	0	0	OK
MAP2K4	-	-	MAP2K4	MAP2K4	TSS15214	chr17:11924134-12047051	-	-	0	0	0	OK
MIR744	-	-	MIR744	MIR744	TSS7996	chr17:11985215-11985313	-	-	0	0	0	OK
COX10	-	-	COX10	COX10	TSS9277	chr17:13972718-14111996	-	-	0	0	0	OK
CDRT15	-	-	CDRT15	CDRT15	TSS6320	chr17:14139172-14140150	-	-	0	0	0	OK
CDRT7	-	-	CDRT7	CDRT7	TSS28688	chr17:14934291-14935274	-	-	0	0	0	OK
HS3ST3B1	-	-	HS3ST3B1	HS3ST3B1	TSS23393	chr17:14204505-14249492	-	-	0	0	0	OK
MGC12916	-	-	MGC12916	MGC12916	TSS11016	chr17:14207056-14209062	-	-	0	0	0	OK
TEKT3	-	-	TEKT3	TEKT3	TSS14095	chr17:15207128-15244958	-	-	0	0	0	OK
CDRT1	-	-	CDRT1	CDRT1	TSS4388	chr17:15491976-15523018	-	-	0	0	0	OK
TRIM16	-	-	TRIM16	TRIM16	TSS7024	chr17:15531279-15586193	-	-	0	0	0	OK
CDRT4	-	-	CDRT4	CDRT4	TSS27583	chr17:15339331-15370925	-	-	0	0	0	OK
FAM18B2-CDRT4	-	-	FAM18B2-CDRT4	FAM18B2-CDRT4	TSS10922	chr17:15339331-15466945	-	-	0	0	0	OK
FAM18B2	-	-	FAM18B2	FAM18B2	TSS10922	chr17:15405577-15466945	-	-	0	0	0	OK
PMP22	-	-	PMP22	PMP22	TSS11352,TSS7638,TSS8169	chr17:15133095-15168644	-	-	0	0	0	OK
MIR4731	-	-	MIR4731	MIR4731	TSS16261	chr17:15154943-15155013	-	-	0	0	0	OK
ZNF286A	-	-	ZNF286A	ZNF286A	TSS14307	chr17:15602890-15624100	-	-	0	0	0	OK
TBC1D26	-	-	TBC1D26	TBC1D26	TSS13216	chr17:15635590-15648098	-	-	0	0	0	OK
MEIS3P1	-	-	MEIS3P1	MEIS3P1	TSS21375	chr17:15690163-15693019	-	-	0	0	0	OK
CDRT15P2	-	-	CDRT15P2	CDRT15P2	TSS16468	chr17:15668016-15669003	-	-	0	0	0	OK
ADORA2B	-	-	ADORA2B	ADORA2B	TSS21991	chr17:15848230-15879210	-	-	0	0	0	OK
NCOR1	-	-	NCOR1	NCOR1	TSS27222,TSS4259	chr17:15933407-16118874	-	-	0	0	0	OK
UBB	-	-	UBB	UBB	TSS7021	chr17:16284366-16286054	-	-	0	0	0	OK
CENPV	-	-	CENPV	CENPV	TSS19291	chr17:16245847-16256812	-	-	0	0	0	OK
ZSWIM7	-	-	ZSWIM7	ZSWIM7	TSS28186	chr17:15879874-15903006	-	-	0	0	0	OK
TTC19	-	-	TTC19	TTC19	TSS214	chr17:15902693-15932723	-	-	0	0	0	OK
PIGL	-	-	PIGL	PIGL	TSS14783	chr17:16120508-16229573	-	-	0	0	0	OK
MIR1288	-	-	MIR1288	MIR1288	TSS8767	chr17:16185327-16185402	-	-	0	0	0	OK
TRPV2	-	-	TRPV2	TRPV2	TSS10846	chr17:16318855-16340317	-	-	0	0	0	OK
ZNF624	-	-	ZNF624	ZNF624	TSS7750	chr17:16524047-16557167	-	-	0	0	0	OK
ZNF287	-	-	ZNF287	ZNF287	TSS8788	chr17:16453630-16472520	-	-	0	0	0	OK
KRT16P2	-	-	KRT16P2	KRT16P2	TSS12181	chr17:16733796-16736147	-	-	0	0	0	OK
CCDC144A	-	-	CCDC144A	CCDC144A	TSS28257	chr17:16593638-16678311	-	-	0	0	0	OK
MPRIP	-	-	MPRIP	MPRIP	TSS16718	chr17:16946073-17095962	-	-	0	0	0	OK
TNFRSF13B	-	-	TNFRSF13B	TNFRSF13B	TSS10403	chr17:16842397-16875402	-	-	0	0	0	OK
USP32P1	-	-	USP32P1	USP32P1	TSS10328	chr17:16690205-16707819	-	-	0	0	0	OK
FAM106CP	-	-	FAM106CP	FAM106CP	TSS2224	chr17:16692056-16693815	-	-	0	0	0	OK
FLCN	-	-	FLCN	FLCN	TSS7219	chr17:17115526-17140502	-	-	0	0	0	OK
NT5M	-	-	NT5M	NT5M	TSS15499	chr17:17206679-17250977	-	-	0	0	0	OK
COPS3	-	-	COPS3	COPS3	TSS27080,TSS9074	chr17:17149937-17184617	-	-	0	0	0	OK
PLD6	-	-	PLD6	PLD6	TSS25375	chr17:17104308-17109646	-	-	0	0	0	OK
MED9	-	-	MED9	MED9	TSS18800	chr17:17380299-17396534	-	-	0	0	0	OK
RASD1	-	-	RASD1	RASD1	TSS19860	chr17:17397752-17399709	-	-	0	0	0	OK
SMCR9	-	-	SMCR9	SMCR9	TSS18352	chr17:17322657-17326728	-	-	0	0	0	OK
PEMT	-	-	PEMT	PEMT	TSS14054,TSS22118,TSS2909	chr17:17408876-17494994	-	-	0	0	0	OK
TOM1L2	-	-	TOM1L2	TOM1L2	TSS19631	chr17:17746821-17875784	-	-	0	0	0	OK
C17orf39	-	-	C17orf39	C17orf39	TSS10950	chr17:17942610-17971718	-	-	0	0	0	OK
LRRC48	-	-	LRRC48	LRRC48	TSS25987	chr17:17876126-17920189	-	-	0	0	0	OK
ATPAF2	-	-	ATPAF2	ATPAF2	TSS23158	chr17:17921333-17942480	-	-	0	0	0	OK
C17orf76-AS1	-	-	C17orf76-AS1	C17orf76-AS1	TSS29320	chr17:16342300-16373962	-	-	0	0	0	OK
SNORD49B	-	-	SNORD49B	SNORD49B	TSS1574	chr17:16342822-16342870	-	-	0	0	0	OK
FAM211A	-	-	FAM211A	FAM211A	TSS22422	chr17:16345327-16395480	-	-	0	0	0	OK
SNORD49A	-	-	SNORD49A	SNORD49A	TSS27518	chr17:16343349-16343420	-	-	0	0	0	OK
SNORD65	-	-	SNORD65	SNORD65	TSS8916	chr17:16344539-16344612	-	-	0	0	0	OK
RAI1	-	-	RAI1	RAI1	TSS19609	chr17:17584786-17714765	-	-	0	0	0	OK
